iteration,hub upper bound,hub lower bound,spoke bound
291,116823.82,106481.86999999982,103988.6980859456
292,116823.82,106481.86999999982,103988.6980859456
293,116823.82,106481.86999999982,103988.6980859456
294,116823.82,106481.86999999982,103988.6980859456
295,116823.82,106481.86999999982,103988.6980859456
296,116823.82,106481.86999999982,103988.6980859456
297,116823.82,106481.86999999982,103988.6980859456
298,116823.82,106481.86999999982,103988.6980859456
299,116823.82,106481.86999999982,103988.6980859456
300,116823.82,106481.86999999982,103988.6980859456
301,116823.82,106481.86999999982,103988.6980859456
302,116823.82,106481.86999999982,103988.6980859456
303,116823.82,106481.86999999982,103988.6980859456
304,116823.82,106481.86999999982,103988.6980859456
305,116823.82,106481.86999999982,103988.6980859456
306,116823.82,106481.86999999982,103988.6980859456
307,116823.82,106481.86999999982,103988.6980859456
308,116823.82,106481.86999999982,103988.6980859456
309,116823.82,106481.86999999982,103988.6980859456
310,116823.82,106481.86999999982,103988.6980859456
311,116823.82,106481.86999999982,103988.6980859456
312,116823.82,106481.86999999982,103988.6980859456
313,116823.82,106481.86999999982,103988.6980859456
314,116823.82,106481.86999999982,103988.6980859456
315,116823.82,106481.86999999982,103988.6980859456
316,116823.82,106481.86999999982,103988.6980859456
317,116823.82,106481.86999999982,103988.6980859456
318,116823.82,106481.86999999982,103988.6980859456
319,116823.82,106481.86999999982,103988.6980859456
320,116823.82,106481.86999999982,103988.6980859456
321,116823.82,106481.86999999982,103988.6980859456
322,116823.82,106481.86999999982,103988.6980859456
323,116823.82,106481.86999999982,103988.6980859456
324,116823.82,106481.86999999982,103988.6980859456
325,116823.82,106481.86999999982,103988.6980859456
326,116823.82,106481.86999999982,103988.6980859456
327,116823.82,106481.86999999982,103988.6980859456
328,116823.82,106481.86999999982,103988.6980859456
329,116823.82,106481.86999999982,103988.6980859456
330,116823.82,106481.86999999982,103988.6980859456
331,116823.82,106481.86999999982,103988.6980859456
332,116823.82,106481.86999999982,103988.6980859456
333,116823.82,106481.86999999982,103988.6980859456
334,116823.82,106481.86999999982,103988.6980859456
335,116823.82,106481.86999999982,103988.6980859456
336,116823.82,106481.86999999982,103988.6980859456
337,116823.82,106481.86999999982,103988.6980859456
338,116823.82,106481.86999999982,103988.6980859456
339,116823.82,106481.86999999982,103988.6980859456
340,116823.82,106481.86999999982,103988.6980859456
341,116823.82,106481.86999999982,103988.6980859456
342,116823.82,106481.86999999982,103988.6980859456
343,116823.82,106481.86999999982,103988.6980859456
344,116823.82,106481.86999999982,103988.6980859456
345,116823.82,106481.86999999982,103988.6980859456
346,116823.82,106481.86999999982,103988.6980859456
347,116823.82,106481.86999999982,103988.6980859456
348,116823.82,106481.86999999982,103988.6980859456
349,116823.82,106481.86999999982,103988.6980859456
350,116823.82,106481.86999999982,103988.6980859456
351,116823.82,106481.86999999982,103988.6980859456
352,116823.82,106481.86999999982,103988.6980859456
353,116823.82,106481.86999999982,103988.6980859456
354,116823.82,106481.86999999982,103988.6980859456
355,116823.82,106481.86999999982,103988.6980859456
356,116823.82,106481.86999999982,103988.6980859456
357,116823.82,106481.86999999982,103988.6980859456
358,116823.82,106481.86999999982,103988.6980859456
359,116823.82,106481.86999999982,103988.6980859456
360,116823.82,106481.86999999982,103988.6980859456
361,0.0,0.0,103988.6980859456
