iteration,hub upper bound,hub lower bound
436,116823.82,113818.0452547827
437,116823.82,113818.0452547827
438,116823.82,113818.0452547827
439,116823.82,113818.0452547827
440,116823.82,113856.81817977194
441,116823.82,113856.81817977194
442,116823.82,113867.42261967428
443,116823.82,113867.42261967428
444,116823.82,113867.42261967428
445,116823.82,113867.42261967428
446,116823.82,113867.42261967428
447,116823.82,113867.42261967428
448,116823.82,113867.42261967428
449,116823.82,113867.42261967428
450,116823.82,113867.42261967428
451,116823.82,113867.42261967428
452,116823.82,113867.42261967428
453,116823.82,113867.42261967428
454,116823.82,113867.42261967428
455,116823.82,113867.42261967428
456,116823.82,113904.40827416597
457,116823.82,113904.40827416597
458,116823.82,113904.40827416597
459,116823.82,113904.40827416597
460,116823.82,113904.40827416597
461,116823.82,113904.40827416597
462,116823.82,113914.76001082666
463,116823.82,113914.76001082666
464,116823.82,113914.76001082666
465,116823.82,113914.76001082666
466,116823.82,113914.76001082666
467,116823.82,113914.76001082666
468,116823.82,113914.76001082666
469,116823.82,113914.76001082666
470,116823.82,113914.76001082666
471,116823.82,113914.76001082666
472,116823.82,113914.76001082666
473,116823.82,113914.76001082666
474,116823.82,113914.76001082666
475,116823.82,113914.76001082666
476,116823.82,113914.76001082666
477,116823.82,113924.68026735513
478,116823.82,113924.68026735513
479,116823.82,113924.68026735513
480,116823.82,113924.68026735513
481,116823.82,113924.68026735513
482,116823.82,113931.98601097081
483,116823.82,113980.59188518235
484,116823.82,113980.59188518235
485,116823.82,113980.59188518235
486,116823.82,114148.58206375074
487,116823.82,114148.58206375074
488,116823.82,114167.09705571078
489,116823.82,114167.09705571078
490,116823.82,114175.63705553065
491,116823.82,114175.63705553065
492,116823.82,114183.02538495636
493,116823.82,114183.02538495636
494,116823.82,114275.13417569773
495,116823.82,114323.51332504155
496,116823.82,114344.93954822219
497,116823.82,114344.93954822219
498,116823.82,114344.93954822219
499,116823.82,114344.93954822219
500,116823.82,114344.93954822219
